"ID","INV","DATE","CATALOG","PCODE","QTY","custnum"
1,107707.00,3/97/7 00:00:00,"Sports","SP1000",1.00,"1242"
2,110633.00,3/97/25 00:00:00,"Gardening","GD2200",1.00,"1243"
3,111155.00,3/97/28 00:00:00,"Pets","PT1300",3.00,"1244"
4,126867.00,6/97/22 00:00:00,"Toys","TY4100",1.00,"1245"
5,135872.00,8/97/8 00:00:00,"Toys","TY1200",4.00,"1246"
6,135872.00,8/97/8 00:00:00,"Toys","TY2100",1.00,"1247"
7,135872.00,8/97/8 00:00:00,"Toys","TY2300",1.00,"1248"
8,135872.00,8/97/8 00:00:00,"Toys","TY4100",1.00,"1249"
9,140623.00,9/97/2 00:00:00,"Software","SW8511",4.00,"125"
10,141408.00,9/97/6 00:00:00,"Sports","SP1500",1.00,"1250"
11,168285.00,2/98/1 00:00:00,"Gardening","GD3100",3.00,"1251"
12,168285.00,2/98/1 00:00:00,"Gardening","GD3300",1.00,"1252"
13,168285.00,2/98/1 00:00:00,"Gardening","GD3400",1.00,"1253"
14,168285.00,2/98/1 00:00:00,"Gardening","GD4300",3.00,"1254"
15,243353.00,4/98/7 00:00:00,"Software","SW5338",2.00,"1255"
16,243377.00,4/98/24 00:00:00,"Pets","PT2300",2.00,"1256"
17,243377.00,4/98/24 00:00:00,"Pets","PT2400",2.00,"1257"
18,207772.00,8/98/2 00:00:00,"Sports","SP1200",1.00,"1258"
19,213285.00,8/98/25 00:00:00,"Toys","TY3700",3.00,"1259"
20,225108.00,10/98/14 00:00:00,"Pets","PT3100",1.00,"126"
21,236334.00,12/98/1 00:00:00,"Toy","TY1600",1.00,"1260"
22,126867.00,9/00/29 00:00:00,"Toys","TY4100",1.00,"1261"
23,135872.00,11/00/15 00:00:00,"Toys","TY1200",4.00,"1262"
24,135872.00,11/00/15 00:00:00,"Toys","TY2100",1.00,"1263"
25,135872.00,11/00/15 00:00:00,"Toys","TY2300",1.00,"1264"
26,135872.00,11/00/15 00:00:00,"Toys","TY4100",1.00,"1265"
27,140623.00,12/00/10 00:00:00,"Software","SW8511",4.00,"1266"
28,118448.00,5/97/8 00:00:00,"Pets","PT3500",3.00,"1267"
29,121273.00,5/97/23 00:00:00,"Toys","TY1800",2.00,"1268"
30,143116.00,9/97/15 00:00:00,"Sports","SP2400",4.00,"1269"
31,157565.00,12/97/1 00:00:00,"Sports","SP2700",4.00,"127"
32,170191.00,2/98/12 00:00:00,"Pets","PT4300",1.00,"1270"
33,243375.00,4/98/21 00:00:00,"Sports","SP1600",2.00,"1271"
34,243375.00,4/98/21 00:00:00,"Sports","sp2000",3.00,"1272"
35,243375.00,4/98/21 00:00:00,"Sports","SP3000",4.00,"1273"
36,184709.00,4/98/24 00:00:00,"Pets","PT3300",1.00,"1274"
37,184709.00,4/98/24 00:00:00,"Pets","PT3300",1.00,"1275"
38,184709.00,4/98/24 00:00:00,"Pets","PT4200",1.00,"1276"
39,184709.00,4/98/24 00:00:00,"Pets","PT4500",1.00,"1277"
40,196588.00,6/98/15 00:00:00,"Gardening","GD1001",1.00,"1278"
41,196588.00,6/98/15 00:00:00,"Gardening","GD1400",1.00,"1279"
42,196588.00,6/98/15 00:00:00,"Gardening","GD4000",1.00,"128"
43,203157.00,7/98/13 00:00:00,"Toys","TY4700",1.00,"1280"
44,204292.00,7/98/18 00:00:00,"Sports","SP1100",2.00,"1281"
45,227219.00,10/98/23 00:00:00,"Sports","SP1500",1.00,"1282"
46,232145.00,11/98/13 00:00:00,"Softwars","SW3895",1.00,"1283"
47,240570.00,12/98/19 00:00:00,"Pets","PT3300",1.00,"1284"
48,240783.00,12/98/20 00:00:00,"Toys","TY5200",4.00,"1285"
49,242124.00,12/98/26 00:00:00,"Colectibles","CC3200",1.00,"1286"
50,118448.00,8/00/15 00:00:00,"Pets","PT3500",3.00,"1287"
51,121273.00,8/00/30 00:00:00,"Toys","TY1800",2.00,"1288"
52,170191.00,5/01/22 00:00:00,"Pets","PT4300",1.00,"1289"
53,100376.00,1/97/15 00:00:00,"Pets","PT2100",1.00,"129"
54,142332.00,9/97/11 00:00:00,"Toys","TY1100",2.00,"1290"
55,142332.00,9/97/11 00:00:00,"Toys","TY3200",2.00,"1291"
56,142332.00,9/97/11 00:00:00,"Toys","TY4200",1.00,"1292"
57,142332.00,9/97/11 00:00:00,"Toys","TY5300",1.00,"1293"
58,157181.00,11/97/29 00:00:00,"Sports","SP1200",1.00,"1294"
59,167282.00,1/98/26 00:00:00,"Sports","SP2200",1.00,"1295"
60,167282.00,1/98/26 00:00:00,"Sports","SP2300",1.00,"1296"
61,167282.00,1/98/26 00:00:00,"Sports","SP2400",1.00,"1297"
62,176148.00,3/98/15 00:00:00,"Software","SW7935",1.00,"1298"
63,243374.00,4/98/21 00:00:00,"Collectibles","CC1100",1.00,"1299"
64,243374.00,4/98/21 00:00:00,"Collectibles","CC3300",2.00,"13"
65,243374.00,4/98/21 00:00:00,"Collectibles","CC3500",3.00,"130"
66,243374.00,4/98/21 00:00:00,"Collectible","CC3500",1.00,"1300"
67,243376.00,4/98/21 00:00:00,"Pets","PT2300",2.00,"1301"
68,243376.00,4/98/21 00:00:00,"Pets","PT3100",2.00,"1302"
69,243376.00,4/98/21 00:00:00,"Pets","PT3200",1.00,"1303"
70,243376.00,4/98/21 00:00:00,"Pets","PT3200",2.00,"1304"
71,190557.00,5/98/20 00:00:00,"Toys","TY1300",1.00,"1305"
72,190557.00,5/98/20 00:00:00,"Toy","TY2400",4.00,"1306"
73,190557.00,5/98/20 00:00:00,"Toys","TY3300",1.00,"1307"
74,228620.00,10/98/29 00:00:00,"Pets","PT2100",3.00,"1308"
75,228620.00,10/98/29 00:00:00,"Pets","PT2200",1.00,"1309"
76,228620.00,10/98/29 00:00:00,"Pets","PT3100",1.00,"131"
77,100376.00,4/00/24 00:00:00,"Pets","PT2100",1.00,"1310"
78,142332.00,12/00/19 00:00:00,"Toys","TY1100",2.00,"1311"
79,142332.00,12/00/19 00:00:00,"Toys","TY3200",2.00,"1312"
80,142332.00,12/00/19 00:00:00,"Toys","TY4200",1.00,"1313"
81,142332.00,12/00/19 00:00:00,"Toys","TY5300",1.00,"1314"
82,99643.00,1/97/9 00:00:00,"Gardening","GD3400",3.00,"1315"
83,106468.00,2/97/27 00:00:00,"Collectibles","CC1200",1.00,"1316"
84,137742.00,8/97/18 00:00:00,"Sports","SP3400",1.00,"1317"
85,155256.00,11/97/19 00:00:00,"Pets","PT2200",3.00,"1318"
86,159666.00,12/97/12 00:00:00,"Toys","TY3800",1.00,"1319"
87,163044.00,12/97/30 00:00:00,"Pets","PT3200",2.00,"132"
88,184049.00,4/98/21 00:00:00,"Pest","PT2000",1.00,"1320"
89,230510.00,11/98/6 00:00:00,"Gardening","GD1400",1.00,"1321"
90,234466.00,11/98/23 00:00:00,"Sports","SP1200",1.00,"1322"
91,234466.00,11/98/23 00:00:00,"Sports","SP2000",1.00,"1323"
92,234466.00,11/98/23 00:00:00,"Sports","SP2300",1.00,"1324"
93,234466.00,11/98/23 00:00:00,"Sports","SP2700",2.00,"1325"
94,239179.00,12/98/13 00:00:00,"Pets","PT2300",2.00,"1326"
95,155256.00,2/01/26 00:00:00,"Pets","PT2200",3.00,"1327"
96,159666.00,3/01/21 00:00:00,"Toys","TY3800",1.00,"1328"
97,163044.00,4/01/8 00:00:00,"Pets","PT3200",2.00,"1329"
98,106313.00,2/97/26 00:00:00,"Sports","SP3100",1.00,"133"
99,108795.00,3/97/14 00:00:00,"Software","SW2123",1.00,"1330"
