"ID","TYPE","DESCRIP","PRICE","COST","PCODE","supplier"
1,"Database","Track-It-All",560.00,425.00,"SW1005","Software America, Inc."
2,"Database","Omnibus",499.95,450.00,"SW1207","Software America"
3,"Database","Balboa",499.00,300.00,"SW3049","Software America"
4,"Financial","Stock Market Analyst",69.95,45.00,"SW2842","Software America"
5,"Financial","Tax Relief (Version 10.40)",77.95,54.50,"SW4187","Software America"
6,"Financial","Family Budget Minder",39.99,29.00,"SW5901","Software America"
7,"Games","Quest for the King's Ear",29.50,22.75,"SW1991","Software America"
8,"Games","Dazed Knights Tournament",29.00,22.30,"SW2123","Software America, Inc."
9,"Games","Chessmate",35.50,29.00,"SW3625","Software America"
10,"Games","Beat the Casino",49.95,34.00,"SW3802","Software America"
11,"Games","F-123 Fright Stimulator",85.50,56.00,"SW3895","Software America"
12,"Games","War of the Words",25.00,22.00,"SW4155","Software America"
13,"Games","Zoot Suit Zeke",36.50,29.40,"SW5338","Software America, Incorporated"
14,"Games","Surgical Shortcuts",23.95,19.00,"SW6269","Software America"
15,"Games","Deviant Sumo Lizards",49.00,39.00,"SW6531","Software America"
16,"Games","Foxtrot and Tango II",49.95,34.00,"SW7935","Software America"
17,"Games","Vanna Visits Vancouver",115.00,84.00,"SW9521","Software America"
18,"Games","Battle for the Seas",189.99,142.50,"SW9604","Software America"
19,"Games","Flys, Hooks, and Bobbers",19.95,9.00,"SW9782","Software America"
20,"Graphics","Easy Draw",120.50,98.00,"SW1526","Office Solutions"
21,"General","Pixel Perfect",329.95,244.50,"SW3545","Office Solutions"
22,"Graphics","Radcliffe Graphics",585.95,396.30,"SW3617","Office Solutions, Inc."
23,"Graphics","Topspot 4.0",99.95,89.95,"SW3909","Office Solutions Co."
24,"Graphics","Paintit Deluxe",150.50,128.45,"SW4550","Office Solutions"
25,"Graphics","DaVinci Draws",299.95,250.00,"SW4773","Software America Company, Inc."
26,"Graphics","Painter's Choice",89.95,59.75,"SW4792","Software America"
27,"Graphics","Professional Draw",105.00,89.95,"SW7013","Software America"
28,"Graphics","Colorama",49.95,39.95,"SW7221","Software America"
29,"Language","PASCAL",199.95,169.00,"SW4575","Programmer's Choice"
30,"Language","COBOL",139.99,101.00,"SW5493","Programmer's Choice"
31,"Language","LISP",325.50,250.00,"SW6132","Programmer's Coice, Inc."
32,"Language","DOS 8.9",499.95,399.00,"SW6352","Programmer's Choice, Inc."
33,"Language","FORTRAN",155.95,129.00,"SW7383","Programmer's Choice, Inc."
34,"Language","BASIC",125.38,100.00,"SW7573","Programmer's Choice"
35,"Network","Connect-It Plus",325.87,229.99,"SW7823","Software America, Inc."
36,"Network","Tete-a-Tete",353.95,232.00,"SW8241","Software America"
37,"Network","Lantastic 5.5",135.50,125.00,"SW9023","Software America"
38,"Publishing","The Word's Out",150.50,125.00,"SW7384","Software America Company, Inc."
39,"Publishing","Spel-It-Rite",149.95,99.99,"SW7585","Software America"
40,"Publishing","Desktop Commando",350.00,245.00,"SW8376","Software America, Inc."
41,"Publishing","Forms for Bureaucrats",129.00,89.00,"SW8511","Software America"
42,"Spreadsheet","Workmate IV",189.95,149.00,"SW2782","JJ Higgins"
43,"Spreadsheet","Superquik",99.95,85.50,"SW2927","JJ Higgins & Company"
44,"Spreadsheet","Top-To-Bottom",95.95,79.95,"SW4323","JJ Higgins & Co."
45,"Spreadsheet","Snappy Summary",225.75,178.00,"SW5655","JJ Higgins & Company"
46,"Spreadsheet","Bottom Line",112.50,89.90,"SW6180","JJ Higgins & Company"
